Article Name,Accessibility Score,Metadata Score,Search Engine Visibility Score,Sharability Score,Indexing Score,Overall Score,Website Link,Article Type,Source,Year,Keywords Used,,,,,,,,
Apple Pollination: Demand Depends on Variety and Supply Depends on Pollinator Identity,3,2,2,3,3,2.6,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0153889,Scientific article,PLOS one,2016,solitary bees,farm,apple,,,,,,
Assessing Wild Bee Biodiversity in Cranberry Agroenvironments: Influence of Natural Habitats,1,3,3,3,3,2.2,https://academic.oup.com/jee/article-abstract/110/4/1424/3924333,Scientific article,Journal of Economic Entomology,2017,solitary bees,wild bees,farm,cranberry,berries,,,,
Bee Visitation and Fruit Quality in Berries Under Protected Cropping Vary Along the Length of Polytunnels,1,3,2,3,3,2.0,https://academic.oup.com/jee/article/113/3/1337/5809826,Scientific article,Journal of Economic Entomology,2020,solitary bees,wild bees,farm,fruit,,,,,
Bees (Hymenoptera: Apoidea) Foraging on American Cranberry in Massachusetts,1,2,3,2,3,1.9,https://bioone.org/journals/Northeastern-Naturalist/volume-25/issue-3/045.025.0314/Bees-Hymenoptera-Apoidea-Foraging-on-American-Cranberry-in-Massachusetts/10.1656/045.025.0314.short,Scientific article,Northeastern Naturalist,2018,solitary bees,farm,cranberry,,,,,,
BEES AS CROP POLLINATORS AND THE ROLE OF SOLITARY SPECIES IN CHANGING ENVIRONMENTS,1,2,2,2,3,1.7,https://www.actahort.org/books/288/288_3.htm,Scientific article,Book: ISHS,1991,solitary bees,farm,fruit,,,,,,
Chapter 19 - Production of solitary bees for pollination in the United States,1,2,3,3,3,2.0,https://www.sciencedirect.com/science/article/abs/pii/B9780128221068000312,Government,Book: Mass Production of Beneficial Organisms (Second Edition),2014,solitary bees,farm,apple,,,,,,
Chapter 3: Solitary Bees In North American Agriculture: A Perspective,1,2,3,3,3,2.0,https://bioone.org/ebooks/thomas-say-proceedings/Chapter-3--Solitary-Bees-In-North-American-Agriculture/6/Chapter-3--Solitary-Bees-In-North-American-Agriculture/10.4182/ZSGH5376.2003.41,Government,"Book: For nonnative crops, whence pollinators of the future?",2003,solitary bees,farm,berry,,,,,,
Characterization of wild bee communities in apple and blueberry orchards,1,2,3,3,3,2.0,https://resjournals.onlinelibrary.wiley.com/doi/full/10.1111/afe.12370?casa_token=Bpg2JobyUzEAAAAA%3AYlKw7YQRcsZ9gtr3svBDbCfitUNRFTHSuRRkJ6GA3dJVlcPDiRvyK4FZ3CHIawS6Jsq8PTxWNY1o6utnPw,Scientific article,Agricultural and Forest Entomology,2020,solitary bees,wild bees,farm,apple,berry,blueberry,,,
Crop pollination services: Complementary resource use by social vs solitary bees facing crops with contrasting flower supply,3,2,3,3,3,2.8,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2664.13777,Scientific article,Journal of Applied Ecology,2020,solitary bees,farm,fruit,,,,,,
Crop production in the USA is frequently limited by a lack of pollinators,3,3,2,3,3,2.8,https://royalsocietypublishing.org/doi/full/10.1098/rspb.2020.0922,Scientific article,Proceedings of the Royal Society B,2020,solitary bees,farm,specialty crop,,,,,,
Crop yield is correlated with honey bee hive density but not in high-woodland landscapes,1,2,2,3,3,1.8,https://www.sciencedirect.com/science/article/pii/S0167880915301377?casa_token=4JFZa7gBB-MAAAAA:4vsQyLneb5x0EF5up7ldSPUvdFmVSUoA17R0f001xJ0IoM-M0f2fU2vEKsdZMZ7gTQs0nLnnkAF7,Scientific article,"Agriculture, Ecosystems & Environment",2016,solitary bees,farm,cranberry,,,,,,
Determining the plant-pollinator network in a culturally significant food and medicine garden in the Great Lakes region,3,2,3,3,3,2.8,https://peerj.com/articles/17401/,Scientific article,PeerJ,2024,solitary bees,farm,fruit,Great Lakes,,,,,
Developing Incentives for Farmers to Support Pollinators,1,2,2,3,3,1.8,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315696355-16/developing-incentives-farmers-support-pollinators-lynn-dicks-mace-vaughan-eric-lee-m%C3%A4der,Government,Book: Pollination Services to Agriculture,2016,solitary bees,farm,specialty crop,,,,,,
"Ecological, environmental, and management data indicate apple production is driven by wild bee diversity and management practices",3,3,3,3,3,3.0,https://www.sciencedirect.com/science/article/pii/S1470160X2200351X,Scientific article,Ecological Indicators,2022,solitary bees,wild bees,farm,apple,,,,,
Effects of Farmland and Seasonal Phenology on Wild Bees in Blueberry Orchards,1,2,3,2,3,1.9,https://bioone.org/journals/northeastern-naturalist/volume-27/issue-4/045.027.0420/Effects-of-Farmland-and-Seasonal-Phenology-on-Wild-Bees-in/10.1656/045.027.0420.short,Scientific article,Northeastern Naturalist,2020,solitary bees,wild bees,farm,blueberry,,,,,
Evaluating Osmia cornifrons as Pollinators of Highbush Blueberry,3,3,2,3,3,2.8,https://www.tandfonline.com/doi/full/10.1080/15538360902991303,Scientific article,International Journal of Fruit Science,2009,solitary bees,farm,blueberry,,,,,,
Farming for Bees,3,1,2,1,3,2.2,https://nwaltoolkit.com/wp-content/uploads/2021/06/15-007_04_XercesSoc_Farming-for-Bees-Guidelines_web.pdf,Non-Profit,Xerces Society,2015,solitary bees,farm,specialty crop,,,,,,
Impacts of the Use of Nonnative Commercial Bumble Bees for Pollinator Supplementation in Raspberry,1,3,3,3,3,2.2,https://academic.oup.com/jee/article-abstract/104/1/107/2199563,Scientific article,Journal of Economic Entomology,2011,solitary bees,wild bees,farm,berry,raspberry,,,,
Integrated Crop Pollination: Combining strategies to ensure stable and sustainable yields of pollination-dependent crops,1,2,2,3,3,1.8,https://www.sciencedirect.com/science/article/pii/S1439179116301761?casa_token=85grGZH2UkoAAAAA:oUXmQq24Xly1LyLSyPI8Hd0DxpwaMfCDICvM02OmqNMgYWbpT1ddzhKfOTWOBvPIee3xY88HLgFT,Scientific article,Basic and Applied Ecology,2017,solitary bees,farm,specialty crop,,,,,,
Landscape context and elevation affect pollinator communities in intensive apple orchards,1,2,2,3,3,1.8,https://www.sciencedirect.com/science/article/pii/S1439179112000990?casa_token=w0qAr8NtpikAAAAA:lPClCwLpRgRfmgRZojm0n-9AX9Tg-Wl61PxcUs3mahCEhGvUdbvPnX6LD9mTToS_Lw7ZvHeWWbDh,Scientific article,Basic and Applied Ecology,2012,solitary bees,wild bees,farm,apple,,,,,
Landscapes with high amounts of mass-flowering fruit crops reduce the reproduction of two solitary bees,1,2,3,3,3,2.0,https://www.sciencedirect.com/science/article/pii/S1439179121001134?casa_token=2ALmPKfTyWwAAAAA:Jxe8twKq42toABZdByQhwBMsKpbWvfMLYsQUX_bgO07bON8oLtZ_qyZ0cnaXiiUZaFTh1huYoqDl,Scientific article,Basic and Applied Ecology,2021,solitary bees,farm,fruit,,,,,,
"Landscapes with wild bee habitats enhance pollination, fruit set and yield of sweet cherry",1,2,2,3,3,1.8,https://www.sciencedirect.com/science/article/pii/S0006320712002273?casa_token=boWrj96yu18AAAAA:D37y4yNLf1LKz5_5KI_8K_x0Xsdrzr-b6nSR5cHHFdfUFzVJd-BHEVncXDYZRZmx9xXczgkuxhys,Scientific article,Biological Conservation,2012,solitary bees,farm,fruit,,,,,,
Local diversification enhances pollinator visitation to strawberry and may improve pollination and marketability,3,3,3,3,3,3.0,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2022.941840/full,Scientific article,Frontiers in Sustainable Food Systems,2022,solitary bees,wild bees,farm,berry,strawberry,,,,
Location and Creation of Nest Sites for Ground-Nesting Bees in Apple Orchards,3,3,2,3,3,2.8,https://www.mdpi.com/2075-4450/14/6/490,Scientific article,Insects,2023,solitary bees,wild bees,farm,herbicides,apple,fruit,,,
Mason bees and honey bees synergistically enhance fruit set in sweet cherry orchards,3,2,2,3,3,2.6,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.10289,Scientific article,Ecology and Evolution,2023,solitary bees,farm,fruit,,,,,,
NATIVE POLLINATORS IN CRANBERRY – AN UPDATE,3,1,2,1,3,2.2,https://fruit.wisc.edu/wp-content/uploads/sites/36/2016/10/2014-Cranberry-School-Proceedings-red.pdf#page=32,Educational Institution,University of Wisconsin-Madison,2013,solitary bees,farm,cranberry,,,,,,
Noncrop Habitat Use by Wild Bees (Hymenoptera: Apoidea) in a Mixed-Use Agricultural Landscape,1,3,2,3,3,2.0,https://academic.oup.com/ee/article/49/2/502/5713442,Scientific article,Environmental Entomology,2020,solitary bees,wild bees,farm,Extension,specialty crop,,,,
On managing the red mason bee (Osmia bicornis) in apple orchards,3,3,2,2,3,2.7,https://link.springer.com/article/10.1007/s13592-011-0059-z,Scientific article,Apidologie,2011,solitary bees,wild bees,farm,apple,,,,,
Perceptions of wild bees and farm characteristics associated with the uptake of pollinator-supporting land management practices among Canadian apple growers,1,3,3,3,3,2.2,https://www.cambridge.org/core/journals/renewable-agriculture-and-food-systems/article/abs/perceptions-of-wild-bees-and-farm-characteristics-associated-with-the-uptake-of-pollinatorsupporting-land-management-practices-among-canadian-apple-growers/154C4BB2CEC26F8D832AFEBB076FC571,Scientific article,Renewable Agriculture and Food Systems,2020,solitary bees,wild bees,farm,apple,fruit,,,,
"Pesticide use within a pollinator-dependent crop has negative effects on the abundance and species richness of sweat bees, Lasioglossum spp., and on bumble bee colony growth",1,3,3,3,3,2.2,https://link.springer.com/article/10.1007/s10841-015-9816-z,Scientific article,Journal of Insect Conservation,2015,solitary bees,wild bees,farm,pesticides,specialty crop,fruit,Wisconsin,,
POLLINATION AND CONSERVING NATIVE BEE HABITAT,3,1,3,2,3,2.5,https://scholarworks.umass.edu/server/api/core/bitstreams/00e3f761-d82c-41d4-98b2-7d3142b232e6/content,Educational Institution,University of Massachusetts,2011,solitary bees,farm,cranberry,,,,,,
Pollination by native bees achieves high fruit quantity and quality of highbush blueberry: a sustainable alternative to managed pollinators,3,3,2,3,3,2.8,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2023.1142623/full,Scientific article,Frontiers in Sustainable Food Systems,2023,solitary bees,wild bees,farm,blueberry,,,,,
POLLINATION PRACTICES AND THE USE OF BEES IN VACCINIUM CROPS,1,2,3,2,3,1.9,https://www.actahort.org/books/810/810_70.htm,Scientific article,Book: ISHS,2009,solitary bees,farm,blueberry,,,,,,
Pollination services provided to small and large highbush blueberry fields by wild and managed bees,3,2,3,3,3,2.8,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2664.2010.01823.x,Scientific article,Journal of Applied Ecology,2010,solitary bees,wild bees,farm,blueberry,fruit,,,,
Pollinator Enhancement,3,1,2,2,3,2.3,https://scholarworks.umass.edu/server/api/core/bitstreams/faa912ac-006c-4c65-9815-ac7b5b5bfbff/content,Educational Institution,University of Massachusetts,2019,solitary bees,wild bees,farm,cranberry,,,,,
"Pollinator enhancement in agriculture: comparing sown flower strips, hedges and sown hedge herb layers in apple orchards",3,3,2,3,3,2.8,https://link.springer.com/article/10.1007/s10531-021-02338-w,Scientific article,Biodiversity and Conservation,2021,solitary bees,farm,apple,,,,,,
"Pollinator Populations in Massachusetts Cranberry, 1990 to 2009: Changes in Diversity and Abundance, Effects of Agricultural Intensification, and a Contribution to the North American Pollinator Survey.",3,1,3,2,3,2.5,https://scholarworks.umass.edu/server/api/core/bitstreams/b83f0498-d622-4063-ba7b-c81390d4ec1d/content,Educational Institution,University of Massachusetts,2010,solitary bees,farm,cranberry,,,,,,
"Potential Pollinators of Tomato, Lycopersicon esculentum (Solanaceae), in Open Crops and the Effect of a Solitary Bee in Fruit Set and Quality",1,3,3,3,3,2.2,https://academic.oup.com/jee/article-abstract/107/3/987/821905,Scientific article,Journal of Economic Entomology,2014,solitary bees,farm,fruit,,,,,,
RESOURCE DISTRIBUTIONS AMONG HABITATS DETERMINE SOLITARY BEE OFFSPRING PRODUCTION IN A MOSAIC LANDSCAPE,1,2,2,2,3,1.7,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/06-0269?casa_token=gY35zyDCwn0AAAAA%3AFm3y_tqvh299jFZKEErXk_K_Ztw2AzccOkcnYiDWC4lmm805D-7tvlMuKNtLHRFkelC8uEvjlHBTMHp4TA,Scientific article,Ecological Applications,2007,solitary bees,farm,fruit,,,,,,
SARE FARM ASSESSMENT 2008,3,1,2,1,3,2.2,https://projects.sare.org/wp-content/uploads/902561farm-assessment-1.pdf,Government,SARE,2008,solitary bees,farm,berry,,,,,,
Small wild bee abundance declines with distance into strawberry crops regardless of field margin habitat,1,2,3,3,3,2.0,https://www.sciencedirect.com/science/article/pii/S1439179120300177?casa_token=tEm3_p2twUAAAAAA:KTFctdJSK5kXupNj698ap3Iuy7nDWLohhkCrTjOLIXdBFS1O5YLd9NsH0rYdNsu_aVbwdhpXvEWI,Scientific article,Basic and Applied Ecology,2020,solitary bees,wild bees,farm,berry,strawberry,raspberry,,,
Solitary bee behaviour and pollination service delivery is differentially impacted by neonicotinoid and pyrethroid insecticides,3,3,3,3,3,3.0,https://www.sciencedirect.com/science/article/pii/S0048969723030206,Scientific article,Science of the Total Environment,2023,solitary bees,farm,fruit,,,,,,
Solitary Bees As Pollinators,1,3,2,3,3,2.0,https://link.springer.com/chapter/10.1007/978-3-030-18917-4_4,Scientific article,Entomovectoring for Precision Biocontrol and Enhanced Pollination of Crops,2020,solitary bees,farm,apple,,,,,,
Supplementing small farms with native mason bees increases strawberry size and growth rate,3,2,2,3,3,2.6,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2664.12988,Scientific article,Journal of Applied Ecology,2017,solitary bees,wild bees,farm,specialty crop,fruit,,,,
Surrounding landscape and spatial arrangement of honey bee hives affect pollen foraging and yield in cranberry,1,2,3,3,3,2.0,https://www.sciencedirect.com/science/article/pii/S0167880919302403?casa_token=3JkZnT9nxXMAAAAA:bBIX9vHOWXjhHQgunSkhYRPfDU9c2wp2xSKPvYDLq9UiJavt7F2Uz1fDia9bvZNszG7ZAYJWCSol,Scientific article,"Agriculture, Ecosystems & Environment",2019,solitary bees,wild bees,farm,cranberry,,,,,
Synthesis of highbush blueberry pollination research reveals region-specific differences in the contributions of honeybees and wild bees,3,2,3,3,3,2.8,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2664.14516,Scientific article,Journal of Applied Ecology,2023,solitary bees,wild bees,farm,blueberry,,,,,
Tillage intensity or landscape features: What matters most for wild bee diversity in vineyards?,3,2,2,3,3,2.6,https://www.sciencedirect.com/science/article/pii/S0167880918302950,Scientific article,"Agriculture, Ecosystems & Environment",,solitary bees,farm,berry,,,,,,
Wild Bees (Hymenoptera: Apoidea: Anthophila) of the Michigan Highbush Blueberry Agroecosystem,3,2,3,3,3,2.8,https://academic.oup.com/aesa/article/102/2/275/8599,Scientific article,Annals of the Entomological Society of America,2009,solitary bees,wild bees,farm,blueberry,,,,,
Wild Bees as Alternative Pollinators in Pennsylvania Apple Orchards,3,1,2,2,3,2.3,"https://www.researchgate.net/publication/241689439_Wild_bees_as_alternative_pollinators_in_Pennsylvania_apple_orchards#:~:text=In%20different%20geographical%20regions%20where,species%20during%20their%20bloom%20period.",Educational Institution,Penn State Extension,2011,solitary bees,farm,specialty crop,,,,,,
Wildflower plantings enhance nesting opportunities for soil-nesting bees,3,2,2,2,3,2.5,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/eap.2935?casa_token=rw5TahqrW6gAAAAA%3AWLeu3D-MHHO6PtpxC6I5ShZ5t-bPdJem4c_drCxVmR2KvzVCbVVGEYjUanp2O0AzD80_WEQGDStKxcKPXw,Scientific article,Ecological Applications,2023,solitary bees,farm,specialty crop,,,,,,
Pollination efficiency and foraging behaviour of honey bees and non-Apis bees to sweet cherry,1,2,3,3,3,2.0,https://resjournals.onlinelibrary.wiley.com/doi/full/10.1111/afe.12363?casa_token=rMzRRfaxNKwAAAAA%3A65Q5qxJrJ-6CjkQqSssGAIyEr0MsiXT3q4q2MwVcgcbjnn527GPwuw52D9V0i3l8XJmADW7h3GukBMDRTg,Scientific article,Agricultural and Forest Entomology,2019,solitary bees,farm,fruit,pollination,,,,,
Heatwave makes vegetables misbehave,3,1,2,3,2,2.3,https://extension.umn.edu/yard-and-garden-news/heatwave-makes-vegetables-misbehave,Educational Institution,University of Minnesota Extension,2025,vegetables,farming,climate,,,,,,
How vegetables respond to heat,3,1,2,3,2,2.3,https://blog-fruit-vegetable-ipm.extension.umn.edu/2021/07/vegetables-not-yielding-well-blame-heat.html,Educational Institution,University of Minnesota Extension,2025,vegetables,farming,climate,,,,,,
Saving vegetable seeds,3,1,2,3,2,2.3,https://extension.umn.edu/planting-and-growing-guides/saving-vegetable-seeds,Educational Institution,University of Minnesota Extension,2024,vegetables,farming,gardening,,,,,,
"“We’re Farmers, Not Beekeepers”: a Cultural Model of Pollination Management Among Lowbush Blueberry Growers in the United States and Canada",1,2,2,3,3,1.8,https://meridian.allenpress.com/human-organization/article-abstract/82/2/107/492570/We-re-Farmers-Not-Beekeepers-a-Cultural-Model-of,Scientific article,Human Organization,2023,Wild bees,farm,blueberry,native pollinators,,,,,
5 Ways To Increase Nesting Habitat For Native Bees,3,1,2,3,2,2.3,https://www.xerces.org/blog/5-ways-to-increase-nesting-habitat-for-bees,Non-Profit,Xerces Society,2017,wild bees,farm,elderberry,native pollinators,,,,,
629-Honey Bees and Blueberry Polination,3,1,2,1,2,2.1,https://extension.umaine.edu/blueberries/629-honey-bees-and-blueberry-pollination/,Educational Institution,The University of Maine,2002,wild bees,farm,fruit,native pollinators,,,,,
630-Wild Bee Conservation for Wild Blueberry Fields,3,1,2,1,2,2.1,https://extension.umaine.edu/blueberries/630-wild-bee-conservation-for-wild-blueberry-fields/,Educational Institution,University of Maine,2003,Wild bees,farm,blueberries,native pollinators,,,,,
"A case study on the occurrence of pyrimethanil, cyprodinil and cyflufenamid residues in soil and on apple leaves, blossoms and pollen, and their transfer by worker bees to the hive",3,3,2,3,3,2.8,https://journals.pan.pl/dlibra/show-content?id=123765,Scientific article,Journal of Plant Protection Research,2022,wild bees,fungicide,apple,native pollinators,,,,,
A Comparison of Drought-Tolerant Prairie Plants to Support Managed and Wild Bees in Conservation Programs,1,3,2,3,3,2.0,https://academic.oup.com/ee/article-abstract/47/5/1128/5058160,Scientific article,Environmental Entomology,2018,wild bees,pesticides,fruit,Great Lakes,,,,,
A meta-analysis comparing the sensitivity of bees to pesticides,1,3,2,3,3,2.0,https://link.springer.com/article/10.1007/s10646-014-1190-1,Scientific article,Ecotoxicology,2014,wild bees,pesticides,native pollinators,,,,,,
A Natural History of Change in Native Bees Associated with Lowbush Blueberry in Maine,1,2,3,2,3,1.9,https://bioone.org/journals/northeastern-naturalist/volume-24/issue-m15/045.024.m1502/A-Natural-History-of-Change-in-Native-Bees-Associated-with/10.1656/045.024.m1502.short,Scientific article,Northeastern Naturalist,2017,wild bees,herbicides,blueberry,native pollinators,,,,,
A new exposure protocol adapted for wild bees reveals species-specific impacts of the sulfoximine insecticide sulfoxaflor,3,3,2,3,3,2.8,https://link.springer.com/article/10.1007/s10646-024-02750-2,Scientific article,Ecotoxicology,2024,wild bees,pesticides,native pollinators,,,,,,
A novel protocol for studying bee cognition in the wild,3,2,2,3,3,2.6,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/2041-210X.12852,Scientific article,Methods in Ecology and Evolution,2017,Wild bees,Extension,native pollinators,,,,,,
A Pollination Toolbox for Wild Blueberry Growers,1,1,2,1,1,1.2,https://rucore.libraries.rutgers.edu/rutgers-lib/45988/,Educational Institution,Rutgers University Community Reposityory,2014,Wild bees,farm,blueberry,native pollinators,,,,,
A Review on Bees,3,1,2,1,3,2.2,https://ag.umass.edu/sites/ag.umass.edu/files/pdf-doc-ppt/2-1-17_a_review_on_bees.pdf,Educational Institution,UMass,2016,wild bees,farm,apple,native pollinators,,,,,
"A spatially explicit model of landscape pesticide exposure to bees: Development, exploration, and evaluation",1,2,2,3,3,1.8,https://www.sciencedirect.com/science/article/abs/pii/S0048969723067736,Scientific article,Science of the Total Environment,2024,wild bees,herbicides,native pollinators,,,,,,
Abiotic and biotic drivers of strawberry productivity across a rural-urban gradient,3,3,2,3,3,2.8,https://www.sciencedirect.com/science/article/pii/S1439179121001560,Scientific article,Basic and applied ecology,2021,Wild bees,farm,strawberry,native pollinators,,,,,
Accessing wild pollinators in conventional ag: a case study from Maine's bluebrry industry,3,3,3,3,3,3.0,https://www.jstor.org/stable/26506663,Scientific article,Human ecology review,2018,Wild bees,farm,fruit,native pollinators,,,,,
"Acetylcholinesterase in honey bees (Apis mellifera) exposed to neonicotinoids, atrazine and glyphosate: laboratory and field experiments",1,3,2,3,3,2.0,https://link.springer.com/article/10.1007/s11356-013-1568-2,Scientific article,Environmental Science and Pollution Research,2013,wild bees,herbicides,native pollinators,,,,,,
Acute toxicity of the fungicide captan to honey bees and mixed evidence for synergism with the insecticide thiamethoxam,3,3,2,2,3,2.7,https://www.nature.com/articles/s41598-024-66248-x,Scientific article,Scientific Reports,2024,wild bees,herbicides,Michigan,native pollinators,,,,,
Addressing pollination deficits in orchard crops through habitat management for wild pollinators,1,2,2,2,3,1.7,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/eap.2743,Scientific article,Ecological Applications,2022,wild bees,herbicides,apple,native pollinators,,,,,
Agrochemical Pesticides Poisoning in Honey and Related Health Hazards,1,2,2,2,3,1.7,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003490180-7/agrochemical-pesticides-poisoning-honey-related-health-hazards-kanchan-kadawla-sanhita-chowdhury-shivangi-maheshwari-abhibandana-das-surender-singh-yadav-vinay-kumar-harshit-gupta-sangita-sharma-vinod-kumar-dubey,Government,Honey,2024,wild bees,herbicides,native pollinators,,,,,,
ALTERNATIVE POLLINATORS: NATIVE BEES,3,2,2,1,3,2.4,https://attra.ncat.org/publication/alternative-pollinators-native-bees/,Non-Profit,Xerces Society,2010,wild bees,farm,fruit,native pollinators,,,,,
An Early Spring-Flowering Winter Cover Crop (Camelina Sativa) Increases Wild Pollinator Activity in Wisconsin (USA),1,2,2,3,3,1.8,https://www.sciencedirect.com/science/article/abs/pii/S016788092500221X,Scientific article,"Agriculture, Ecosystems & Environment",2024,wild bees,herbicides,,,,,,,
Ants are no bees – Gaps in the assessment of relevant exposure routes to pesticides and plant incorporated protectants,3,3,2,3,3,2.8,https://www.sciencedirect.com/science/article/pii/S2590182624000043,Scientific article,Environmental Chemistry and Ecotoxicology,2024,wild bees,pesticides,native pollinators,,,,,,
Apple grower pollination practices and perceptions of alternative pollinators in New York and Pennsylvania,3,3,3,3,3,3.0,https://www.cambridge.org/core/journals/renewable-agriculture-and-food-systems/article/apple-grower-pollination-practices-and-perceptions-of-alternative-pollinators-in-new-york-and-pennsylvania/933D61F142D6C462DF28054A6AE0BC57,Scientific article,Renewable agriculture and food systems,2018,Wild bees,farm,apple,native pollinators,,,,,
"Apple orchards feed honey bees during, but even more so after, bloom",3,2,2,3,3,2.6,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecs2.4228,Scientific article,Ecosphere,2022,Wild bees,Integrated Pest Management,apple,native pollinators,,,,,
"Apple pollination is ensured by wild bees when honey bees are drawn away from orchards by a mass co-flowering crop, oilseed rape",3,2,2,3,3,2.6,https://www.sciencedirect.com/science/article/pii/S0167880921000876,Scientific article,"Agriculture, Ecosystems & Environment",2021,Wild bees,farm,fruit,,,,,,
Application of 3D-printed pollen traps as a useful tool for exposure and risk assessment of pesticide residues on bumblebees,1,2,2,3,3,1.8,https://www.sciencedirect.com/science/article/abs/pii/S0045653523030187,Scientific article,Chemosphere,2024,wild bees,herbicides,native pollinators,,,,,,
Are bee diseases linked to pesticides? — A brief review,1,2,2,3,3,1.8,https://www.sciencedirect.com/science/article/pii/S0160412016300095?casa_token=7DMvRuqh7TYAAAAA:6tQu4O54SB8bKRbw3ibynk8Bobq1SfWuZcvkK0U8WnyOWtvHmOOEv4hqACd5TEqDa4dMddaZIW03,Scientific article,Environment International,2016,wild bees,pesticides,native pollinators,,,,,,
Arthropod ecosystem services in apple orchards and their economic benefits,3,2,2,,3,2.3,https://resjournals.onlinelibrary.wiley.com/doi/full/10.1111/een.12234?casa_token=3iK54HzsnwcAAAAA%3AIknerET1E5syl47idZXSJrPv8kF7TptXyg1vEOj9Pb28qch1Ra-vKuo0ti17x9bNQOH5Euibp3tgU41oYQ,Scientific article,Ecological Entomology,2015,Wild bees,Integrated Pest Management,apple,native pollinators,,,,,
Aspects determining the risk of pesticides to wild bees : risk profiles for focal crops on three continents,1,1,2,1,2,1.3,https://library.wur.nl/WebQuery/wurpubs/436609,Educational Institution,Wageningen University and Research,2013,wild bees,pesticides,native pollinators,,,,,,
Assessing lethal and sublethal effects of pesticides on honey bees in a multifactorial context,3,3,2,3,3,2.8,https://www.sciencedirect.com/science/article/pii/S0048969724050423,Scientific article,Science of the Total Environment,2024,wild bees,pesticides,native pollinators,,,,,,
Assessing the attractiveness of native wildflower species to bees (Hymenoptera: Anthophila) in the southeastern United States,3,2,2,3,3,2.6,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1002/2688-8319.12363,Scientific article,Ecological Solutions and Evidence,2024,wild bees,integrated pest management,native pollinators,sustainable farming,,,,,
"Assessing the effects of a commercial fungicide and an herbicide, alone and in combination, on Apis mellifera: Insights from biomarkers and cognitive analysis",3,3,2,3,3,2.8,https://www.sciencedirect.com/science/article/pii/S0045653524012001,Scientific article,Chemosphere,2024,wild bees,herbicides,native pollinators,,,,,,
Assessing the Utility of Native Plant Species for Pollinators and Tree Fruit Orchards,3,1,2,1,2,2.1,https://www.uaex.uada.edu/farm-ranch/crops-commercial-horticulture/horticulture/ar-southern-SARE-blog/posts/native-plants-and-pollinators.aspx,Educational Institution,University of Arkansas Dvision of Agriculture Research and Extension,2022,wild bees,farm,fruit,native pollinators,,,,,
Assessment of stingless bee densification to improve pollination service: a case study in strawberry cultivation in field conditions,3,3,2,2,3,2.7,https://www.e-jecoenv.org/journal/view.html?doi=10.5141/jee.24.014,Scientific article,Journal of ecology and environment,2024,Wild bees,farm,strawberry,native pollinators,,,,,
Attracting wild bees to farms is a good insurance policy,3,1,2,1,2,2.1,https://msutoday.msu.edu/news/2014/attracting-wild-bees-to-farms-is-a-good-insurance-policy,Educational Institution,Michigan State University,2014,wild bees,farm,fruit,native pollinators,,,,,
"Be Aware, Protecting pollinators from pesticides",3,1,2,3,3,2.4,https://extensionpubs.unl.edu/publication/ec301/2019/pdf/view/ec301-2019.pdf,Educational Institution,Nebraska Extension,2019,wild bees,farm,raspberry,native pollinators,,,,,
"Bee Basics, An introduction to our native bees",3,1,2,1,3,2.2,https://labs.biology.ucsd.edu/nieh/TeachingBee/BeeBasics.pdf,Government,USDA Forest Service and Pollinator Partnership,2011,wild bees,farm,fruit,native pollinators,,,,,
"Bee declines driven by combined stress from parasites, pesticides, and lack of flowers",1,2,3,3,3,2.0,https://www.science.org/doi/full/10.1126/science.1255957?casa_token=ZbkK5r-Si8cAAAAA%3AiozUkGOYhe9pQaM8aFQilf92fDfYaN64nWfbOko6I9O1PmX7ohkdM0NWygPzXIvOe3gWvgzlw9MXTeaL,Scientific article,Science,2015,Wild bees,IPM,pesticies,native pollinators,,,,,
Bee Friendly Farming,3,1,1,1,2,1.9,https://www.mofga.org/resources/pollinators/bee-friendly-farming/,Non-Profit,Maine Organic Farmers and Gardeners,2009,wild bees,farm,elderberry,native pollinators,,,,,
Bee-associated fungi mediate effects of fungicides on bumble bees,2,3,3,2,3,2.5,https://resjournals.onlinelibrary.wiley.com/doi/full/10.1111/een.13126?casa_token=S4FUTKJGHqEAAAAA%3AnJaaPFIC2-kJufh1QCtNVq4CcR6koqh2JCHkwoqVC_kbZO7fGe1um3izB0Do7AW_h5__kvQ7_NbBkmvupw,Scientific article,Royal Entomological Society,2022,wild bees,fungicide,native pollinators,,,,,,
